reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
e4f460a1-24e4-48c8-8a36-477f91417816,Yididya Fantahun,https://play-lh.googleusercontent.com/a-/ALV-UjXMoUA8DFSFRdXOC9yPWljO8KSGPXbGjin1bSqWBnNPtJcZu3Vb,I have nothing against your service but your App!!!!??? When will it ever work? Why do you keep changing the interface whenever there is an update? The most unreadable annoying app.,1,13,24.02.07,2024-03-22 04:36:57,,,24.02.07
1bdac495-0844-4896-b693-213485aad561,Dallol App,https://play-lh.googleusercontent.com/a-/ALV-UjVblQTqhxQOMp4nEMk91ykiixEM2H0Z6kkh-jDLHIikNnMB4ow,"I can't believe in this day and age, one of the major banks of the country can't seem to understand that having a working mobile payment option is a **MUST** to survive. I have decided to move my accounts to CBE and Awash because of this. Can't be bothered with this useless app.",1,16,24.05.07,2024-07-04 04:46:13,,,24.05.07
a434370c-550c-4ae9-adcb-7a02aea1c130,Mukemil Rahmeto,https://play-lh.googleusercontent.com/a/ACg8ocKUEdc3iaebqyizwt_Le327XKZ4uZ72hh_kLnFQ77TmkBznUg=mo,I'm disappointed with the recent changes to this app. Disabling developer options for functionality seems unnecessary. The previous version offered a more user-friendly experience.,1,34,24.05.07,2024-06-06 02:20:54,,,24.05.07
d8c26573-6298-42ad-b768-d2981e2ec79b,Eyasu Ketema,https://play-lh.googleusercontent.com/a-/ALV-UjVrk18OTDh1H5Y1wU_PhLkakSUzDdHPG5rtVJoRFSMdznmCjO_YOg,It's just terrible. It kept crashing in middle of transaction. Hell sometimes it won't open. My phone is stock Android (pixel 8) and I don't even know how this happens. Fix it!,1,23,24.05.07,2024-05-20 09:24:24,,,24.05.07
27614b2a-f8e3-48d6-8cb2-9a83c03e36a3,Henok Loulseged,https://play-lh.googleusercontent.com/a-/ALV-UjXId4LRO6iQWmMxpAONQJV4z9AyNYTG_vuUaNAmUBgRqDS4vzc,"Its nice platform when i compare with the previous version! But, when i try to use mobile banking the app states use the updated one! As it orders, i updated BOA from playstore, when i try to use mobile banking on the following day the same thing-update from the playstore!!!!",5,329,24.02.07,2024-02-20 06:54:44,"Dear customer, We are sorry for the inconvenience please contact us at 8397 and share as much information as you can. We will investigate your case. Thank you!",2024-02-22 04:49:40,24.02.07
1756e606-985f-44eb-bab4-95bcf0848416,Hildana Endale,https://play-lh.googleusercontent.com/a/ACg8ocJcY_kPjcrFQoUdTEzhwDAMZkdbKHKRt-wb1ucbOM7DZqBrmA=mo,This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,19,24.11.22,2024-11-27 23:17:48,,,24.11.22
f2fac0e0-abfb-4625-8443-a49953389605,betreab argaw,https://play-lh.googleusercontent.com/a/ACg8ocKvKFzt0xdg9H8Nv3wIv3K0cMOTBCCVxUDz_aBhlqq_4z2_Og=mo,"Unreliable, expensive service. Most of the time, it is not working. Sometimes, it will take more than a day to complete transactions and charges more for this unworthy service. I will not recommend this bank app to anyone.",1,9,24.05.07,2024-06-10 13:09:57,,,24.05.07
2d52d1a5-525c-4655-b858-e8d0d2e20bc2,Abemelek Fasika,https://play-lh.googleusercontent.com/a-/ALV-UjU3LHZFA66WHyZ8JIqw9DpxQsoVJS_Ew0gn8myEouUAEBrV3FTr,Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,8,24.11.22,2024-12-27 02:28:26,,,24.11.22
25b7eec9-d1ef-41be-8bb3-3fd1b1cb8068,miki,https://play-lh.googleusercontent.com/a/ACg8ocILvBTtCBgtXCBfDg6l4_1_4BmDhiBmyJUK4YisbPleDz5T7g=mo,"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,3,24.11.22,2025-02-15 07:15:50,,,24.11.22
49b877c9-5536-4be5-8674-e3ae975fa0ed,Cyber boy,https://play-lh.googleusercontent.com/a/ACg8ocICFlKeHKgnvkHobS5K0iNiXYmssT2ABsjVhtrH69xcfpTi9g=mo,"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,1,,2025-03-02 22:24:29,,,
